,Geography :: United States,,,,,,My Metrix,,,,,
,Universe :: Home and Work,,,,,,"(c)2014 comScore, Inc",,,,,
,Time Period :: December 2013,,,,,,,,,,,
,Target :: Total Audience,,,,,,,,,,,
,Media :: Top 100 Properties [Undup.],,,,,,,,,,,
,Date :: 7/3/2014,,,,,,,,,,,
,,,,,,,,,,,,
,Category,Total Unique Visitors (000),% Reach,% Composition Unique Visitors,Composition Index UV,Composition Index PV,Average Daily Visitors (000),Total Minutes (MM),Total Pages Viewed (MM),Total Visits (000),Average Minutes per Visit,Average Visits per Visitor
                FLIGHTSTATS.COM,Travel,432.821,0.193,100,100,100,23.182,3.804,4.274,1068.602,3.56,2.469
                10BEST.COM,Regional/Local,216.145,0.096,100,100,100,6.266,0.468,1.007,230.635,2.031,1.067
                TRIPOLOGY.COM,"Travel, Travel - Online Travel Agents",32.536,0.015,100,100,,,,,,,
            USATODAY Money,"Business/Finance - Personal Finance, Business/Finance",4055.193,1.81,100,100,100,286.847,19.598,19.617,9480.336,2.067,2.338
            USATODAY Tech,"Technology, Technology - News",1953.36,0.872,100,100,100,125.89,8.105,7.184,4003.706,2.024,2.05
            USATODAY30.USATODAY.COM,"News/Information - General News, News/Information",1744.44,0.779,100,100,100,63.915,2.492,2.6,2131.22,1.169,1.222
            USATODAY Opinion,"News/Information - General News, News/Information",845.341,0.377,100,100,100,68.381,3.617,3.65,2153.104,1.68,2.547
            USATODAY Weather,"News/Information - Weather, News/Information",532.549,0.238,100,100,100,31.308,1.995,1.756,1008.872,1.977,1.894
            USATODAYEDUCATE.COM,Education,73.182,0.033,100,100,100,2.98,0.111,0.15,115.597,0.96,1.58
            USATODAY Your Life,Lifestyles,29.461,0.013,100,100,,,,,,,
                USATODAY.com Your Life,Lifestyles,22.525,0.01,100,100,,,,,,,
                USAWEEKEND.COM,Lifestyles,7.242,0.003,100,100,,,,,,,
        Michigan Media Solutions,"News/Information, News/Information - Newspapers",3101.305,1.384,100,100,100,399.99,107.291,47.567,16215.4,6.617,5.229
            Detroit Media Solutions,"News/Information - Newspapers, News/Information",2585.729,1.154,100,100,100,326.703,97.756,38.702,13139.925,7.44,5.082
                FREEP.COM*,"News/Information, News/Information - Newspapers",1731.877,0.773,100,100,100,267.687,29.21,19.883,10529.962,2.774,6.08
                DETROITNEWS.COM,"News/Information, News/Information - Newspapers",1114.718,0.498,100,100,100,140.035,53.071,16.496,5462.241,9.716,4.9
                MICHIGAN.COM*,"News/Information, News/Information - General News",68.005,0.03,100,100,,,,,,,
                LIVINGSTONDAILY.COM*,"Entertainment - Radio, Entertainment",31.61,0.014,100,100,,,,,,,
                HOMETOWNLIFE.COM,Regional/Local,15.204,0.007,100,100,,,,,,,
            WZZM13.COM*,"News/Information, News/Information - General News",324.901,0.145,100,100,100,63.916,5.454,4.843,3443.453,1.584,10.598
            LSJ.Com Sites,"News/Information, News/Information - Newspapers",299.851,0.134,100,100,100,45.845,2.702,3.186,1489.489,1.814,4.967
                LANSINGSTATEJOURNAL.COM*,"News/Information, News/Information - Newspapers",283.329,0.126,100,100,100,37.463,2.015,2.084,1228.262,1.64,4.335
        Reviewed.com Publications,"Technology, Technology - News",2691.854,1.201,100,100,100,141.547,8.21,11.104,5157.06,1.592,1.916
            REVIEWED.COM,"Technology, Technology - News",2691.842,1.201,100,100,100,141.546,8.21,11.104,5157.05,1.592,1.916
        Azcentral.Com Sites,"News/Information - Newspapers, News/Information",2336.48,1.043,100,100,100,265.449,19.04,20.28,10235.831,1.86,4.381
            AZCENTRAL.COM*,"News/Information - Newspapers, News/Information",2284.742,1.02,100,100,100,255.49,18.357,19.574,9858.9,1.862,4.315
        9News.Com Sites,"News/Information - General News, News/Information",1067.475,0.476,100,100,100,138.973,24.774,18.291,7355.513,3.368,6.891
            9NEWS.COM*,"News/Information, News/Information - General News",1066.369,0.476,100,100,100,138.747,24.734,18.261,7343.715,3.368,6.887
        Gannett Government Media,"News/Information - General News, News/Information",921.024,0.411,100,100,100,70.254,6.922,6.958,2456.327,2.818,2.667
            Military Times Group,News/Information,700.731,0.313,100,100,100,51.761,5.181,5.39,1842.303,2.812,2.629
                MILITARYTIMES.COM,"News/Information, News/Information - General News",526.752,0.235,100,100,100,26.293,2.477,2.371,969.865,2.554,1.841
                NAVYTIMES.COM,"News/Information, News/Information - Newspapers",176.447,0.079,100,100,100,29.971,0.2,0.899,1036.021,0.193,5.872
                MARINECORPSTIMES.COM,"News/Information, News/Information - General News",147.386,0.066,100,100,100,12.085,0.041,0.462,377.389,0.108,2.561
                ARMYTIMES.COM,"News/Information, News/Information - Newspapers",126.893,0.057,100,100,100,29.756,0.151,1.024,1020.533,0.148,8.042
                AIRFORCETIMES.COM,"News/Information - General News, News/Information",52.387,0.023,100,100,,,,,,,
            FEDERALTIMES.COM,"News/Information, News/Information - General News",53.444,0.024,100,100,,,,,,,
            DEFENSENEWS.COM,"News/Information - General News, News/Information",41.082,0.018,100,100,,,,,,,
        Indystar.Com Sites,"News/Information - Newspapers, News/Information",913.979,0.408,100,100,100,68.572,8.399,16.493,2541.298,3.305,2.78
            INDYSTAR.COM*,"News/Information, News/Information - Newspapers",841.875,0.376,100,100,100,62.313,7.436,15.201,2321.064,3.204,2.757
        KARE11.COM*,"News/Information, News/Information - General News",817.466,0.365,100,100,100,91.038,9.89,15.348,3364.866,2.939,4.116
        Desmoinesregister.Com Sites,"News/Information, News/Information - Newspapers",817.393,0.365,100,100,100,52.389,3.696,6.677,1757.073,2.104,2.15
            DESMOINESREGISTER.COM*,"News/Information - Newspapers, News/Information",781.275,0.349,100,100,100,45.991,3.101,5.103,1544.203,2.008,1.977
        Cincinnati.com Sites,"News/Information - Newspapers, News/Information",812.531,0.363,100,100,100,110.826,10.497,11.559,4409.044,2.381,5.426
            CINCINNATI.COM*,"News/Information, News/Information - Newspapers",728.96,0.325,100,100,100,92.118,8.601,9.28,3698.494,2.326,5.074
            NKY.COM,"News/Information - Newspapers, News/Information",50.226,0.022,100,100,,,,,,,
            ENQUIRER.COM,"News/Information - Newspapers, News/Information",28.733,0.013,100,100,,,,,,,
        Tennessean.com Sites,"News/Information - Newspapers, News/Information",635.009,0.283,100,100,100,66.348,4.837,5.951,2195.422,2.203,3.457
            TENNESSEAN.COM*,"News/Information, News/Information - Newspapers",602.805,0.269,100,100,100,61.887,3.91,4.897,2054.103,1.903,3.408
        KSDK.Com Sites,"News/Information, News/Information - General News",623.753,0.278,100,100,100,69.027,11.895,11.548,2607.075,4.563,4.18
            KSDK.COM*,"News/Information - General News, News/Information",623.753,0.278,100,100,100,69.027,11.895,11.548,2607.075,4.563,4.18
        RGJ.Com Sites,"News/Information - Newspapers, News/Information",480.164,0.214,100,100,100,49.562,2.527,4.335,1850.356,1.366,3.854
            RGJ.COM*,"News/Information, News/Information - Newspapers",469.95,0.21,100,100,100,44.841,2.313,3.918,1681.942,1.375,3.579
        Lohud.Com Sites,"News/Information, News/Information - Newspapers",463.915,0.207,100,100,100,46.307,2.686,5.542,1609.588,1.669,3.47
            LOHUD.COM*,"News/Information, News/Information - Newspapers",441.396,0.197,100,100,100,45.082,2.602,4.659,1568.123,1.659,3.553
            NYJOURNALNEWS.COM,"News/Information, News/Information - Newspapers",27.144,0.012,100,100,,,,,,,
            THEJOURNALNEWS.COM,"News/Information - Newspapers, News/Information",27.144,0.012,100,100,,,,,,,
        Asbury Park Press Sites,"News/Information, News/Information - Newspapers",458.714,0.205,100,100,100,41.131,4.137,6.665,1382.281,2.993,3.013
            APP.COM*,"News/Information - Newspapers, News/Information",408.252,0.182,100,100,100,34.647,2.888,5.043,1167.853,2.473,2.861
            APPCLASSIFIEDS.COM,"News/Information, News/Information - Newspapers",20.799,0.009,100,100,,,,,,,
        WTSP.COM*,"News/Information - General News, News/Information",444.124,0.198,100,100,100,30.747,2.529,1.807,1001.776,2.525,2.256
        11Alive Sites,"News/Information - General News, News/Information",433.996,0.194,100,100,100,46.93,2.656,2.745,1530.807,1.735,3.527
            11ALIVE.COM*,News/Information,433.608,0.194,100,100,100,46.127,2.656,2.744,1505.34,1.764,3.472
        Greenbaypressgazette Sites,News/Information,431.67,0.193,100,100,100,44.964,4.424,4.95,1770.172,2.499,4.101
            GREENBAYPRESSGAZETTE.COM*,"News/Information, News/Information - Newspapers",287.572,0.128,100,100,100,18.893,1.695,1.533,610.086,2.779,2.122
            PACKERSNEWS.COM,Sports,95.149,0.042,100,100,,,,,,,
        Courier-Journal Sites,News/Information,405.463,0.181,100,100,100,44.779,4.927,4.882,1623.291,3.035,4.004
            COURIER-JOURNAL.COM*,News/Information,373.479,0.167,100,100,100,40.044,2.575,3.127,1467.175,1.755,3.928
        Democrat And Chronicle Sites,"News/Information - Newspapers, News/Information",404.339,0.18,100,100,100,30.931,3.366,9.397,1197.352,2.811,2.961
            DEMOCRATANDCHRONICLE.COM*,"News/Information, News/Information - Newspapers",376.54,0.168,100,100,100,25.44,2.697,7.868,969.045,2.784,2.574
        Delawareonline Sites,"News/Information - Newspapers, News/Information",400.719,0.179,100,100,100,37.399,5.114,6.783,1384.186,3.695,3.454
            DELAWAREONLINE.COM*,"News/Information - Newspapers, News/Information",374.925,0.167,100,100,100,32.367,4.348,5.401,1198.111,3.629,3.196
        DEALCHICKEN.COM,"Services, Services - Coupons",398.408,0.178,100,100,100,24.012,1.395,1.744,771.314,1.809,1.936
        News10.Net Sites,"News/Information - General News, News/Information",383.81,0.171,100,100,100,28.401,1.696,1.474,913.835,1.856,2.381
            NEWS10.NET*,"News/Information - General News, News/Information",383.81,0.171,100,100,100,28.401,1.696,1.474,913.835,1.856,2.381
        Newsquest Media Group,"News/Information - Newspapers, News/Information",376.92,0.168,100,100,100,26.309,1.192,1.114,816.871,1.459,2.167
            THESTRAD.COM,"News/Information, News/Information - Newspapers",30.375,0.014,100,100,,,,,,,
            HERALDSCOTLAND.COM,"News/Information - Newspapers, News/Information",27.246,0.012,100,100,,,,,,,
        WKYC.COM*,"News/Information, News/Information - General News",352.442,0.157,100,100,100,28.055,2.345,3.622,968.506,2.421,2.748
        Digtriad.Com Sites,"News/Information - General News, News/Information",338.555,0.151,100,100,100,33.093,5.449,2.586,1119.69,4.866,3.307
            DIGTRIAD.COM*,News/Information,338.555,0.151,100,100,100,33.093,5.449,2.586,1119.69,4.866,3.307
        First Coast News Sites,"News/Information, News/Information - General News",324.602,0.145,100,100,100,34.675,2.868,3.09,1142.618,2.51,3.52
            FIRSTCOASTNEWS.COM*,"News/Information - General News, News/Information",324.602,0.145,100,100,100,34.675,2.868,3.09,1142.618,2.51,3.52
        My Central Jersey,Regional/Local,323.725,0.144,100,100,100,17.926,1.08,2.879,625.113,1.728,1.931
            MYCENTRALJERSEY.COM*,Regional/Local,274.976,0.123,100,100,100,15.008,0.845,1.881,520.789,1.623,1.894
        WCSH6.COM*,"News/Information - General News, News/Information",321.156,0.143,100,100,100,37.433,3.192,3.859,1273.852,2.506,3.966
        WBIR.COM*,"News/Information - General News, News/Information",319.448,0.143,100,100,100,25.701,3.409,4.454,1102.995,3.09,3.453
        WGRZ.COM*,"News/Information - General News, News/Information",316.891,0.141,100,100,100,22.737,5.502,9.76,875.269,6.286,2.762
        Clarionledger.com Sites,"News/Information - Newspapers, News/Information",312.356,0.139,100,100,100,37.015,2.597,3.009,1187.501,2.187,3.802
            CLARIONLEDGER.COM*,"News/Information - Newspapers, News/Information",287.143,0.128,100,100,100,29.134,1.873,2.215,941.594,1.989,3.279
        WUSA9.COM*,"Entertainment, Entertainment - TV",285.784,0.128,100,100,100,28.674,2.777,3.209,1136.967,2.443,3.978
        Floridatoday.Com Sites,"News/Information, News/Information - Newspapers",259.965,0.116,100,100,100,23.082,1.771,4.209,848.609,2.086,3.264
            FLORIDATODAY.COM*,"News/Information - Newspapers, News/Information",242.783,0.108,100,100,100,22.295,1.732,3.756,816.756,2.121,3.364
            FLATODAY.COM,"News/Information - Newspapers, News/Information",1.571,0.001,100,100,,,,,,,
        News-Press.Com Sites,"News/Information, News/Information - Newspapers",240.292,0.107,100,100,100,22.906,1.214,2.267,757.334,1.603,3.152
            NEWS-PRESS.COM*,"News/Information - Newspapers, News/Information",227.009,0.101,100,100,100,20.903,1.104,2.045,690.652,1.599,3.042
        Metromix,Regional/Local,235.614,0.105,100,100,100,15.069,1.343,1.325,520.306,2.582,2.208
            Metromix Chicago,Regional/Local,162.011,0.072,100,100,100,11.886,0.792,1.117,439.813,1.801,2.715
            Metromix Detroit,Regional/Local,35.242,0.016,100,100,,,,,,,
            Metromix Louisville,Regional/Local,19.672,0.009,100,100,,,,,,,
            Metromix Cincinnati,Regional/Local,4.011,0.002,100,100,,,,,,,
            Metromix Nashville,Regional/Local,1.509,0.001,100,100,,,,,,,
            Metromix Phoenix,Regional/Local,1.486,0.001,100,100,,,,,,,
            METROMIX.COM*,Regional/Local,0.881,0,100,100,,,,,,,
        News-Leader Sites,News/Information,231.236,0.103,100,100,100,16.467,1.319,3.617,538.202,2.451,2.328
            NEWS-LEADER.COM*,News/Information,218.025,0.097,100,100,100,13.79,1.115,3.032,450.845,2.473,2.068
        NURSE.COM,Lifestyles,230.074,0.103,100,100,100,8.475,0.81,1.237,300.55,2.694,1.306
        WLTX.Com Sites,"News/Information - General News, News/Information",214.375,0.096,100,100,100,48.233,3.76,2.67,1905.497,1.973,8.889
            WLTX.COM*,News/Information,214.375,0.096,100,100,100,48.233,3.76,2.67,1905.497,1.973,8.889
        Courierpostonline.Com Sites,"News/Information - Newspapers, News/Information",210.247,0.094,100,100,100,19.268,1.5,2.59,607.28,2.469,2.888
            COURIERPOSTONLINE.COM*,"News/Information, News/Information - Newspapers",193.211,0.086,100,100,100,14.226,0.935,1.534,452.794,2.065,2.344
        Poughkeepsiejournal.Com Sites,"News/Information - Newspapers, News/Information",205.942,0.092,100,100,100,24.171,2.599,6.164,769.885,3.376,3.738
            POUGHKEEPSIEJOURNAL.COM*,"News/Information - Newspapers, News/Information",193.482,0.086,100,100,100,20.521,2.286,5.249,653.274,3.499,3.376
        The Desert Sun Sites,"News/Information - Newspapers, News/Information",173.754,0.078,100,100,100,11.697,0.997,1.561,490.401,2.032,2.822
            MYDESERT.COM*,"News/Information - Newspapers, News/Information",169.498,0.076,100,100,100,10.963,0.933,1.448,460.975,2.024,2.72
        Shreveport Times,News/Information,171.125,0.076,100,100,100,21.687,2.332,2.745,734.057,3.176,4.29
            SHREVEPORTTIMES.COM*,"News/Information - Newspapers, News/Information",159.661,0.071,100,100,100,14.723,1.606,1.852,499.868,3.213,3.131
        PNJ.Com Sites,"News/Information - Newspapers, News/Information",163.728,0.073,100,100,100,13.23,0.897,2.144,501.523,1.788,3.063
            PENSACOLANEWSJOURNAL.COM,"News/Information - Newspapers, News/Information",157.449,0.07,100,100,100,12.968,0.65,1.652,491.582,1.323,3.122
        Montgomery Advertiser Sites,News/Information,162.62,0.073,100,100,100,10.125,1.394,2.885,322.456,4.322,1.983
            MONTGOMERYADVERTISER.COM*,"News/Information, News/Information - Newspapers",159.368,0.071,100,100,100,9.11,1.187,2.193,291.277,4.077,1.828
        Burlington Free Press Sites,"News/Information, News/Information - Newspapers",162.379,0.072,100,100,100,24.635,2.45,3.307,812.949,3.014,5.006
            BURLINGTONFREEPRESS.COM*,"News/Information - Newspapers, News/Information",149.579,0.067,100,100,100,18.789,1.844,2.424,620.645,2.971,4.149
        13 WMAZ Sites,"News/Information, News/Information - General News",155.831,0.07,100,100,100,17.12,1.41,2.558,622.185,2.267,3.993
            13WMAZ.COM*,"News/Information, News/Information - General News",155.831,0.07,100,100,100,17.12,1.41,2.558,622.185,2.267,3.993
        Tallahassee Sites,News/Information,142.452,0.064,100,100,100,8.87,0.927,2.285,300.781,3.083,2.111
            TALLAHASSEE.COM*,"News/Information - Newspapers, News/Information",140.723,0.063,100,100,100,8.249,0.815,1.775,278.648,2.924,1.98
        WLBZ2.COM*,"Entertainment - TV, Entertainment",96.818,0.043,100,100,,,,,,,
        Coloradoan.Com Sites,"News/Information - Newspapers, News/Information",96.241,0.043,100,100,100,10.327,0.503,0.688,498.488,1.01,5.18
            COLORADOAN.COM*,"News/Information - Newspapers, News/Information",96.241,0.043,100,100,100,10.327,0.503,0.688,498.488,1.01,5.18
        Pressconnects.Com Sites,"News/Information, News/Information - Newspapers",94.722,0.042,100,100,,,,,,,
            PRESSCONNECTS.COM*,"News/Information - Newspapers, News/Information",89.517,0.04,100,100,,,,,,,
        Citizen-Times.Com Sites,"News/Information, News/Information - Newspapers",77.264,0.034,100,100,,,,,,,
            CITIZEN-TIMES.COM*,"News/Information, News/Information - Newspapers",77.264,0.034,100,100,,,,,,,
        The Advertiser Sites,News/Information,76.031,0.034,100,100,,,,,,,
            THEADVERTISER.COM*,"News/Information - Newspapers, News/Information",75.646,0.034,100,100,,,,,,,
        HAWAII.COM,Travel,73.352,0.033,100,100,,,,,,,
        Delmarvanow.com Sites,"News/Information - Newspapers, News/Information",70.74,0.032,100,100,,,,,,,
            DELMARVANOW.COM*,"News/Information - Newspapers, News/Information",49.162,0.022,100,100,,,,,,,
        Thenewsstar.Com Sites,"News/Information - Newspapers, News/Information",65.671,0.029,100,100,,,,,,,
            THENEWSSTAR.COM*,"News/Information, News/Information - Newspapers",65.671,0.029,100,100,,,,,,,
        Postcresent Sites,News/Information,56.989,0.025,100,100,,,,,,,
            POSTCRESCENT.COM*,"News/Information, News/Information - Newspapers",56.989,0.025,100,100,,,,,,,
        Greenvilleonline.Com Sites,"News/Information - Newspapers, News/Information",56.616,0.025,100,100,100,4.606,0.611,1.608,185.443,3.296,3.275
            GREENVILLEONLINE.COM*,"News/Information - Newspapers, News/Information",53.709,0.024,100,100,,,,,,,
        Star-Gazette.Com Sites,"News/Information, News/Information - Newspapers",56.239,0.025,100,100,,,,,,,
            STARGAZETTE.COM*,"News/Information, News/Information - Newspapers",53.548,0.024,100,100,,,,,,,
            STAR-GAZETTE.COM,"News/Information - General News, News/Information",0.897,0,100,100,,,,,,,
        LOYALCUSTOMERCLUB.COM,Promotional Servers,54.434,0.024,100,100,,,,,,,
        Press-Citizen.Com Sites,"News/Information - Newspapers, News/Information",52.845,0.024,100,100,,,,,,,
            PRESS-CITIZEN.COM*,"News/Information, News/Information - Newspapers",52.845,0.024,100,100,,,,,,,
        The Daily Record,News/Information,52.346,0.023,100,100,,,,,,,
            DAILYRECORD.COM*,"News/Information, News/Information - Newspapers",52.346,0.023,100,100,,,,,,,
        HAWKCENTRAL.COM,Sports,49.252,0.022,100,100,,,,,,,
        Journal and Courier Online Sites,"News/Information - Newspapers, News/Information",49.183,0.022,100,100,,,,,,,
            JCONLINE.COM*,"News/Information, News/Information - Newspapers",48.401,0.022,100,100,,,,,,,
        Newark Advocate Sites,News/Information,48,0.021,100,100,,,,,,,
            NEWARKADVOCATE.COM*,"News/Information, News/Information - Newspapers",48,0.021,100,100,,,,,,,
        Thetowntalk.Com Sites,"News/Information - Newspapers, News/Information",46.333,0.021,100,100,,,,,,,
            THETOWNTALK.COM*,"News/Information - Newspapers, News/Information",46.333,0.021,100,100,,,,,,,
        GANNETT.COM*,Corporate Presence,44.775,0.02,100,100,100,2.105,0.172,0.801,66.249,2.593,1.48
        The Leaf Chronicle Sites,News/Information,44.066,0.02,100,100,,,,,,,
            THELEAFCHRONICLE.COM*,"News/Information, News/Information - Newspapers",44.066,0.02,100,100,,,,,,,
        TUCSONCITIZEN.COM,"News/Information, News/Information - Newspapers",42.79,0.019,100,100,100,4.295,0.194,0.307,155.827,1.242,3.642
        St. Cloud Times Sites,News/Information,42.21,0.019,100,100,,,,,,,
            SCTIMES.COM*,"News/Information, News/Information - Newspapers",42.21,0.019,100,100,,,,,,,
        TUCSON.COM,"News/Information, News/Information - Newspapers",39.631,0.018,100,100,,,,,,,
        Argusleader.Com Sites,"News/Information - Newspapers, News/Information",38.245,0.017,100,100,,,,,,,
            ARGUSLEADER.COM,"News/Information - Newspapers, News/Information",38.245,0.017,100,100,,,,,,,
        MansfieldNewsJournal.com Sites,News/Information,38.12,0.017,100,100,,,,,,,
            MANSFIELDNEWSJOURNAL.COM*,"News/Information - Newspapers, News/Information",37.126,0.017,100,100,,,,,,,
        QQCLASSIFIEDS.COM,"Directories/Resources - Classifieds, Directories/Resources",36.259,0.016,100,100,,,,,,,
        Thecalifornian.Com Sites,"News/Information - General News, News/Information",34.739,0.016,100,100,,,,,,,
            THECALIFORNIAN.COM*,"News/Information - General News, News/Information",34.739,0.016,100,100,,,,,,,
        Jacksonsun.com Sites,"News/Information - Newspapers, News/Information",30.92,0.014,100,100,,,,,,,
            JACKSONSUN.COM*,"News/Information, News/Information - Newspapers",30.92,0.014,100,100,,,,,,,
        Greatfallstribune.Com Sites,"News/Information, News/Information - General News",30.569,0.014,100,100,,,,,,,
            GREATFALLSTRIBUNE.COM*,"News/Information, News/Information - General News",30.569,0.014,100,100,,,,,,,
        Hattiesburgamerican.Com Sites,"News/Information - Newspapers, News/Information",27.935,0.012,100,100,,,,,,,
            HATTIESBURGAMERICAN.COM*,"News/Information, News/Information - Newspapers",27.935,0.012,100,100,,,,,,,
        THESTARPRESS.COM*,"News/Information - Newspapers, News/Information",27.883,0.012,100,100,,,,,,,
        WISINFO.COM,"News/Information, News/Information - Newspapers",26.485,0.012,100,100,,,,,,,
        Thespectrum.Com Sites,"News/Information - General News, News/Information",25.488,0.011,100,100,,,,,,,
            THESPECTRUM.COM*,Regional/Local,25.488,0.011,100,100,,,,,,,
        Statesmanjournal.Com Sites,"News/Information - Newspapers, News/Information",22.516,0.01,100,100,,,,,,,
            STATESMANJOURNAL.COM*,"News/Information, News/Information - Newspapers",22.516,0.01,100,100,,,,,,,
        Theithacajournal.Com Sites,"News/Information - Newspapers, News/Information",19.467,0.009,100,100,,,,,,,
            THEITHACAJOURNAL.COM*,"News/Information, News/Information - Newspapers",19.467,0.009,100,100,,,,,,,
        THENORTHWESTERN.COM*,"News/Information - Newspapers, News/Information",18.075,0.008,100,100,,,,,,,
        Newsleader.Com Sites,"News/Information - Newspapers, News/Information",16.195,0.007,100,100,,,,,,,
            NEWSLEADER.COM*,"News/Information - Newspapers, News/Information",10.235,0.005,100,100,,,,,,,
        Wausau Daily Herald,News/Information,14.975,0.007,100,100,,,,,,,
            WAUSAUDAILYHERALD.COM*,"News/Information - Newspapers, News/Information",14.975,0.007,100,100,,,,,,,
        DNJ.COM*,"News/Information, News/Information - Newspapers",12.502,0.006,100,100,,,,,,,
        THV Sites,"News/Information - General News, News/Information",12.406,0.006,100,100,,,,,,,
            TODAYSTHV.COM*,"Entertainment - TV, Entertainment",12.406,0.006,100,100,,,,,,,
        newspaper network of Central Ohio,"News/Information, News/Information - Newspapers",11.765,0.005,100,100,,,,,,,
            BUCYRUSTELEGRAPHFORUM.COM*,"News/Information - General News, News/Information",9.634,0.004,100,100,,,,,,,
            Centralohio.com Sites,"News/Information, News/Information - Newspapers",2.131,0.001,100,100,,,,,,,
                CENTRALOHIO.COM,"News/Information - Newspapers, News/Information",2.131,0.001,100,100,,,,,,,
                OHIOCOMMUNITYCLASS.COM,"Retail, Retail - Books",1.025,0,100,100,,,,,,,
        GANNETTONLINE.COM*,Corporate Presence,6.997,0.003,100,100,,,,,,,
        GMTI.COM,Corporate Presence,5.631,0.003,100,100,,,,,,,
        SOURCEADS.COM,"Directories/Resources, Directories/Resources - Classifieds",2.736,0.001,100,100,,,,,,,
    Wal-Mart,Retail,53054.175,23.679,100,100,100,4386.521,998.74,1536.59,166697.358,5.991,3.142
        WALMART.COM,"Retail, Retail - Department Stores",50018.547,22.324,100,100,100,4034.894,919.669,1395.855,153089.615,6.007,3.061
            Walmart Photo Center,"Services - Photos, Services",3372,1.505,100,100,100,170.089,13.934,29.667,6294.269,2.214,1.867
            Walmart Movies,"Retail, Retail - Movies",959.054,0.428,100,100,100,43.072,3.222,6.196,1435.315,2.245,1.497
            Walmart Pharmacy,"Health, Health - Pharmacy",322.487,0.144,100,100,100,20.103,2.953,4.776,669.2,4.412,2.075
            Walmart Music Store,"Retail - Music, Retail",116.806,0.052,100,100,100,4.661,0.073,0.195,148.68,0.491,1.273
            Walmart Soundcheck,"Entertainment, Entertainment - Music",103.769,0.046,100,100,100,3.729,0.093,0.209,115.663,0.805,1.115
            Walmart Electronics,"Retail - Consumer Electronics, Retail",84.976,0.038,100,100,100,3.021,0.03,0.096,93.646,0.316,1.102
            Walmart Sports,Sports,32.081,0.014,100,100,100,1.298,0.052,0.082,36.792,1.422,1.147
            Walmart for the Home,"Retail, Retail - Home Furnishings",24.782,0.011,100,100,,,,,,,
        Sam's Club,"Retail, Retail - Mall",6366.997,2.842,100,100,100,342.129,52.423,78.577,11673.482,4.491,1.833
            SAMSCLUB.COM,"Retail - Mall, Retail",6326.054,2.823,100,100,100,339.49,52.345,78.032,11576.112,4.522,1.83
            SAMSCLUBCREDIT.COM,"Business/Finance - Personal Finance, Business/Finance",222.436,0.099,100,100,100,8.397,0.024,0.263,260.825,0.09,1.173
            SAMSCLUBDISCOVER.COM,"Business/Finance - Personal Finance, Business/Finance",1.224,0.001,100,100,,,,,,,
            SAMSCLUBAUTO.COM,Automotive,0.964,0,100,100,,,,,,,
        WALMARTMONEYCARD.COM,"Business/Finance - Personal Finance, Business/Finance",760.428,0.339,100,100,100,61.81,5.355,13.147,2305.12,2.323,3.031
        WALMARTSTORES.COM,Corporate Presence,743.062,0.332,100,100,100,31.131,15.54,33.736,1093.056,14.217,1.471
        MYWALMART.COM,Business/Finance,574.233,0.256,100,100,100,52.319,3.944,12.117,1847.058,2.135,3.217
        WALMART.CA,"Retail - Department Stores, Retail",97.867,0.044,100,100,100,3.577,0.208,0.443,112.184,1.854,1.146
        YHD.COM,"Retail - Mall, Retail",94.609,0.042,100,100,100,3.385,0.114,0.163,104.948,1.087,1.109
        WALMARTCHECKS.COM,"Retail - Consumer Goods, Retail",92.104,0.041,100,100,100,4.365,0.84,1.396,141.252,5.945,1.534
        Asda,Retail,47.798,0.021,100,100,,,,,,,
            ASDA.CO.UK*,"Retail - Food, Retail",47.546,0.021,100,100,,,,,,,
        PARENTSCHOICEFORMULA.COM,Corporate Presence,17.352,0.008,100,100,,,,,,,
        WALMARTPHOTOCENTRE.CA,"Services - Photos, Services",11.586,0.005,100,100,,,,,,,
    Answers.com Sites,"Directories/Resources, Directories/Resources - Reference",46234.353,20.635,100,100,100,6809.053,333.19,614.824,310469.167,1.073,6.715
        ANSWERS.COM,"Directories/Resources, Directories/Resources - Reference",45925.543,20.497,100,100,100,6797.322,331.732,613.542,310180.977,1.069,6.754
            Answers.com Entertainment And Arts,"Entertainment, Entertainment - News",11591.128,5.173,100,100,100,517.654,18.961,23.84,16534.818,1.147,1.427
            Answers.com Science,"Directories/Resources, Directories/Resources - Reference",5696.504,2.542,100,100,100,264.392,20.062,22.14,9006.884,2.227,1.581
            Answers.com Health,Health,5519.171,2.463,100,100,100,230.596,9.82,11.435,7346.969,1.337,1.331
            Answers.com History Politics And Society,"Directories/Resources, Directories/Resources - Reference",5141.189,2.295,100,100,100,246.552,16.425,19.063,8393.554,1.957,1.633
            Answers.com Literature And Language,"Education, Education - Information",4121.122,1.839,100,100,100,185.286,9.184,10.902,6135.567,1.497,1.489
            Answers.com Business And Finance,"Business/Finance, Business/Finance - Personal Finance",2706.84,1.208,100,100,100,119.249,5.447,5.521,3880.631,1.404,1.434
            Answers.com Jobs And Education,"Education, Education - Information",2689.326,1.2,100,100,100,114.736,4.925,5.57,3626.273,1.358,1.348
            Answers.com Technology,"Technology, Technology - News",2661.488,1.188,100,100,100,111.135,4.476,5.057,3512.036,1.274,1.32
            Answers.com Cars & Vehicles,Automotive,2460.532,1.098,100,100,100,106.069,6.025,5.878,3424.612,1.759,1.392
