,Geography :: United States,,,,,,My Metrix,,,,,
,Universe :: Home and Work,,,,,,"(c)2014 comScore, Inc",,,,,
,Time Period :: December 2013,,,,,,,,,,,
,Target :: Total Audience,,,,,,,,,,,
,Media :: Top 100 Properties [Undup.],,,,,,,,,,,
,Date :: 7/3/2014,,,,,,,,,,,
,,,,,,,,,,,,
,Category,Total Unique Visitors (000),% Reach,% Composition Unique Visitors,Composition Index UV,Composition Index PV,Average Daily Visitors (000),Total Minutes (MM),Total Pages Viewed (MM),Total Visits (000),Average Minutes per Visit,Average Visits per Visitor
                    Yahoo UK & Ireland News,"News/Information, News/Information - General News",444.1,0.198,100,100,100,36.158,1.574,1.393,1135.956,1.386,2.558
                    Yahoo India News,"News/Information - General News, News/Information",296.118,0.132,100,100,100,57.87,3.092,3.501,1948.534,1.587,6.58
                    Yahoo Taiwan News,"News/Information - General News, News/Information",253.571,0.113,100,100,100,85.958,25.394,25.958,5435.876,4.671,21.437
                    Yahoo Voices Consumer Electronics & Technology,Technology,246.811,0.11,100,100,100,11.099,0.351,0.375,345.739,1.016,1.401
                    Yahoo Voices News & Information,"News/Information - General News, News/Information",246.772,0.11,100,100,100,12.162,0.509,0.439,399.014,1.275,1.617
                    Yahoo Philippines News,"News/Information - General News, News/Information",237.526,0.106,100,100,100,30.006,2.352,2.394,1017.345,2.312,4.283
                    Yahoo South Africa News,"News/Information - General News, News/Information",231.465,0.103,100,100,100,10.713,0.817,0.531,370.978,2.202,1.603
                    Yahoo7 News,"News/Information - General News, News/Information",188.809,0.084,100,100,100,15.433,0.769,0.573,493.311,1.558,2.613
                        The West Australian,"News/Information - General News, News/Information",68.124,0.03,100,100,,,,,,,
                    Yahoo Singapore News,"News/Information - General News, News/Information",162.42,0.072,100,100,100,12.164,0.445,0.536,411.461,1.083,2.533
                    Yahoo Japan News,"News/Information, News/Information - General News",144.239,0.064,100,100,100,56.323,11.817,14.429,4105.631,2.878,28.464
                    Yahoo Hong Kong News,"News/Information, News/Information - General News",128.081,0.057,100,100,100,32.547,8.774,8.601,1834.659,4.783,14.324
                    Yahoo Mexico News,News/Information,103.326,0.046,100,100,100,46.574,5.689,3.25,1652.431,3.443,15.992
                    Yahoo France News,"News/Information - General News, News/Information",96.317,0.043,100,100,100,17.847,1.817,1.188,596.194,3.048,6.19
                    Yahoo Spain News,"News/Information - General News, News/Information",84.112,0.038,100,100,,,,,,,
                    Yahoo Vietnam News,"News/Information, News/Information - General News",47.957,0.021,100,100,100,12.928,5.229,2.835,833.302,6.275,17.376
                    Yahoo Argentina News,"News/Information - General News, News/Information",12.563,0.006,100,100,,,,,,,
                    Yahoo New Zealand News,"News/Information - General News, News/Information",11.476,0.005,100,100,,,,,,,
                    Yahoo Malaysia News,"News/Information, News/Information - General News",0.552,0,100,100,,,,,,,
                Yahoo Finance,"Business/Finance - News/Research, Business/Finance",31925.045,14.249,100,100,100,4938.387,575.696,684.343,212283.033,2.712,6.649
                    Yahoo U.S. Finance,"Business/Finance - News/Research, Business/Finance",30502.307,13.614,100,100,100,4690.528,549.246,636.592,201889.861,2.721,6.619
                    Yahoo Voices Business & Finance,Business/Finance,317.597,0.142,100,100,100,13.467,0.558,0.537,421.699,1.322,1.328
                    Yahoo Canada Finance,"Business/Finance - News/Research, Business/Finance",287.344,0.128,100,100,100,48.103,2.538,1.782,1491.189,1.702,5.19
                    Yahoo India Finance,"Business/Finance, Business/Finance - Personal Finance",93.366,0.042,100,100,100,14.576,0.702,1.069,475.341,1.477,5.091
                    Yahoo UK & Ireland Finance,"Business/Finance - News/Research, Business/Finance",50.489,0.023,100,100,,,,,,,
                    Yahoo Mexico Finance,Business/Finance,44.992,0.02,100,100,,,,,,,
                    Yahoo Singapore Finance,"Business/Finance - News/Research, Business/Finance",44.671,0.02,100,100,,,,,,,
                    Yahoo Hong Kong Finance,"Business/Finance, Business/Finance - News/Research",37.631,0.017,100,100,,,,,,,
                    Yahoo Spain Finance,"Business/Finance, Business/Finance - News/Research",31.237,0.014,100,100,,,,,,,
                    Yahoo France Finance,"Business/Finance - News/Research, Business/Finance",14.686,0.007,100,100,,,,,,,
                Yahoo Celebrity,"Entertainment - News, Entertainment",31086.121,13.874,100,100,100,3395.476,293.702,534.719,118521.895,2.478,3.813
                    Yahoo U.S. Celebrity,"Entertainment, Entertainment - News",25380.06,11.327,100,100,100,2680.903,204.876,377.762,92179.199,2.223,3.632
                        Yahoo Voices Arts & Entertainment,Entertainment,467.685,0.209,100,100,100,24.864,0.805,1.013,831.94,0.968,1.779
                    USMAGAZINE.COM,"Entertainment, Entertainment - News",9582.206,4.277,100,100,100,615.151,72.599,141.121,21878.539,3.318,2.283
                    Yahoo UK & Ireland Celebrity,"Entertainment - News, Entertainment",224.157,0.1,100,100,100,17.203,0.611,0.759,538.573,1.135,2.403
