URL,Name,Data Types,Default Task,Attribute Types,# Instances,# Attributes,Year,Description
http://archive.ics.uci.edu/ml/datasets/Breast+Cancer+Wisconsin+%28Prognostic%29,Breast Cancer Wisconsin (Prognostic),Multivariate,"Classification, Regression",Real,198,34,1995,Prognostic Wisconsin Breast Cancer Database
http://archive.ics.uci.edu/ml/datasets/Breast+Tissue,Breast Tissue,Multivariate,Classification,Real,106,10,2010,Dataset with electrical impedance measurements of freshly excised tissue samples from the breast.
http://archive.ics.uci.edu/ml/datasets/BuddyMove+Data+Set,BuddyMove Data Set,"Multivariate, Text","Classification, Clustering",Real,249,7,2018,User interest information extracted from user reviews published in holidayiq.com about various types of point of interests in South India
http://archive.ics.uci.edu/ml/datasets/Burst+Header+Packet+%28BHP%29+flooding+attack+on+Optical+Burst+Switching+%28OBS%29+Network,Burst Header Packet (BHP) flooding attack on Optical Burst Switching (OBS) Network,Text,Classification,Integer,1075,22,2017,One of the primary challenges in identifying the risks of the Burst Header Packet (BHP) flood attacks in Optical Burst Switching networks (OBS) is the scarcity of reliable historical data.
http://archive.ics.uci.edu/ml/datasets/Buzz+in+social+media+,Buzz in social media ,"Time-Series, Multivariate","Regression, Classification","Integer, Real",140000,77,2013,"This data-set contains examples of buzz events from two different social networks: Twitter, and Tom's Hardware, a forum network focusing on new technology with more conservative dynamics."
http://archive.ics.uci.edu/ml/datasets/Caesarian+Section+Classification+Dataset,Caesarian Section Classification Dataset,Univariate,Classification,Integer,80,5,2018,This dataset contains information about caesarian section results of 80 pregnant women with the most important characteristics of delivery problems in the medical field.
http://archive.ics.uci.edu/ml/datasets/CalIt2+Building+People+Counts,CalIt2 Building People Counts,"Multivariate, Time-Series",,"Categorical, Integer",10080,4,2006,This data comes from the main door of the CalIt2 building at UCI.
http://archive.ics.uci.edu/ml/datasets/Car+Evaluation,Car Evaluation,Multivariate,Classification,Categorical,1728,6,1997,"Derived from simple hierarchical decision model, this database may be useful for testing constructive induction and structure discovery methods."
http://archive.ics.uci.edu/ml/datasets/Carbon+Nanotubes,Carbon Nanotubes,Univariate,Regression,Real,10721,8,2018,This dataset contains 10721 initial and calculated atomic coordinates of carbon nanotubes.
http://archive.ics.uci.edu/ml/datasets/Cardiotocography,Cardiotocography,Multivariate,Classification,Real,2126,23,2010,The dataset consists of measurements of fetal heart rate (FHR) and uterine contraction (UC) features on cardiotocograms classified by expert obstetricians.
http://archive.ics.uci.edu/ml/datasets/Cargo+2000+Freight+Tracking+and+Tracing,Cargo 2000 Freight Tracking and Tracing,"Multivariate, Sequential","Classification, Regression",Integer,3942,98,2016,"Sanitized and anonymized Cargo 2000 (C2K) airfreight tracking and tracing events, covering five months of business execution (3,942 process instances, 7,932 transport legs, 56,082 activities)."
http://archive.ics.uci.edu/ml/datasets/Census+Income,Census Income,Multivariate,Classification,"Categorical, Integer",48842,14,1996,"Predict whether income exceeds $50K/yr based on census data. Also known as ""Adult"" dataset."
http://archive.ics.uci.edu/ml/datasets/Census-Income+%28KDD%29,Census-Income (KDD),Multivariate,Classification,"Categorical, Integer",299285,40,2000,This data set contains weighted census data extracted from the 1994 and 1995 current population surveys conducted by the U.S. Census Bureau.
